Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DSLIP,7/31/2023,DEPOSIT,156.93,DEPOSIT, ,
DSLIP,7/31/2023,DEPOSIT,152.44,DEPOSIT, ,
DSLIP,7/31/2023,DEPOSIT,42.98,DEPOSIT, ,
DSLIP,7/19/2023,DEPOSIT,511.6,DEPOSIT, ,
DSLIP,7/19/2023,DEPOSIT,371.89,DEPOSIT, ,
DSLIP,7/19/2023,DEPOSIT,345.72,DEPOSIT, ,
DSLIP,7/19/2023,DEPOSIT,333.87,DEPOSIT, ,
DSLIP,7/19/2023,DEPOSIT,319.86,DEPOSIT, ,
DSLIP,7/19/2023,DEPOSIT,283.89,DEPOSIT, ,
DSLIP,7/19/2023,DEPOSIT,253.89,DEPOSIT, ,
DSLIP,7/19/2023,DEPOSIT,239.99,DEPOSIT, ,
DSLIP,7/19/2023,DEPOSIT,142.93,DEPOSIT, ,
DSLIP,7/19/2023,DEPOSIT,113.14,DEPOSIT, ,
DSLIP,7/19/2023,DEPOSIT,107.95,DEPOSIT, ,
DSLIP,7/19/2023,DEPOSIT,77.97,DEPOSIT, ,
DSLIP,7/6/2023,DEPOSIT,688.91,DEPOSIT, ,
DSLIP,7/6/2023,DEPOSIT,406.3,DEPOSIT, ,
DSLIP,7/6/2023,DEPOSIT,384.68,DEPOSIT, ,
DSLIP,7/6/2023,DEPOSIT,378.14,DEPOSIT, ,
DSLIP,7/6/2023,DEPOSIT,306.88,DEPOSIT, ,
DSLIP,7/6/2023,DEPOSIT,292.38,DEPOSIT, ,
DSLIP,7/6/2023,DEPOSIT,277.76,DEPOSIT, ,
DSLIP,7/6/2023,DEPOSIT,262.85,DEPOSIT, ,
DSLIP,7/6/2023,DEPOSIT,261.91,DEPOSIT, ,
DSLIP,7/6/2023,DEPOSIT,250.9,DEPOSIT, ,
DSLIP,7/6/2023,DEPOSIT,142.91,DEPOSIT, ,
DSLIP,7/6/2023,DEPOSIT,89.96,DEPOSIT, ,
DSLIP,7/6/2023,DEPOSIT,11.99,DEPOSIT, ,
DSLIP,6/23/2023,DEPOSIT,403.72,DEPOSIT, ,
DSLIP,6/23/2023,DEPOSIT,345.84,DEPOSIT, ,
DSLIP,6/23/2023,DEPOSIT,275.91,DEPOSIT, ,
DSLIP,6/23/2023,DEPOSIT,242.89,DEPOSIT, ,
DSLIP,6/23/2023,DEPOSIT,225.91,DEPOSIT, ,
DSLIP,6/23/2023,DEPOSIT,210.39,DEPOSIT, ,
DSLIP,6/23/2023,DEPOSIT,182.79,DEPOSIT, ,
DSLIP,6/23/2023,DEPOSIT,179.02,DEPOSIT, ,
DSLIP,6/23/2023,DEPOSIT,170.93,DEPOSIT, ,
DSLIP,6/23/2023,DEPOSIT,112.45,DEPOSIT, ,
DSLIP,6/23/2023,DEPOSIT,89.96,DEPOSIT, ,
DSLIP,6/23/2023,DEPOSIT,75.97,DEPOSIT, ,
DSLIP,6/23/2023,DEPOSIT,73.97,DEPOSIT, ,
DSLIP,6/13/2023,DEPOSIT,399.91,DEPOSIT, ,
DSLIP,6/13/2023,DEPOSIT,312.9,DEPOSIT, ,
DSLIP,6/13/2023,DEPOSIT,295.89,DEPOSIT, ,
DSLIP,6/13/2023,DEPOSIT,285.47,DEPOSIT, ,
DSLIP,6/13/2023,DEPOSIT,255.92,DEPOSIT, ,
DSLIP,6/13/2023,DEPOSIT,213.9,DEPOSIT, ,
DSLIP,6/13/2023,DEPOSIT,189.41,DEPOSIT, ,
DSLIP,6/13/2023,DEPOSIT,147.94,DEPOSIT, ,
DSLIP,6/13/2023,DEPOSIT,132.94,DEPOSIT, ,
DSLIP,6/13/2023,DEPOSIT,45.26,DEPOSIT, ,
DSLIP,6/1/2023,DEPOSIT,676.75,DEPOSIT, ,
DSLIP,6/1/2023,DEPOSIT,371.66,DEPOSIT, ,
DSLIP,6/1/2023,DEPOSIT,347.86,DEPOSIT, ,
DSLIP,6/1/2023,DEPOSIT,321.85,DEPOSIT, ,
DSLIP,6/1/2023,DEPOSIT,294.85,DEPOSIT, ,
DSLIP,6/1/2023,DEPOSIT,280.5,DEPOSIT, ,
DSLIP,6/1/2023,DEPOSIT,211.92,DEPOSIT, ,
DSLIP,6/1/2023,DEPOSIT,195.91,DEPOSIT, ,
DSLIP,6/1/2023,DEPOSIT,191.68,DEPOSIT, ,
DSLIP,6/1/2023,DEPOSIT,174.77,DEPOSIT, ,
DSLIP,6/1/2023,DEPOSIT,125.94,DEPOSIT, ,
DSLIP,6/1/2023,DEPOSIT,124.94,DEPOSIT, ,
DSLIP,5/22/2023,DEPOSIT,558.37,DEPOSIT, ,
DSLIP,5/22/2023,DEPOSIT,510.8,DEPOSIT, ,
DSLIP,5/22/2023,DEPOSIT,497.79,DEPOSIT, ,
DSLIP,5/22/2023,DEPOSIT,426.64,DEPOSIT, ,
DSLIP,5/22/2023,DEPOSIT,352.83,DEPOSIT, ,
DSLIP,5/22/2023,DEPOSIT,337.35,DEPOSIT, ,
DSLIP,5/22/2023,DEPOSIT,236.92,DEPOSIT, ,
DSLIP,5/22/2023,DEPOSIT,235.89,DEPOSIT, ,
DSLIP,5/22/2023,DEPOSIT,225.89,DEPOSIT, ,
DSLIP,5/22/2023,DEPOSIT,196.93,DEPOSIT, ,
DSLIP,5/22/2023,DEPOSIT,173.42,DEPOSIT, ,
DSLIP,5/22/2023,DEPOSIT,121.29,DEPOSIT, ,
DSLIP,5/22/2023,DEPOSIT,118.95,DEPOSIT, ,
DSLIP,5/22/2023,DEPOSIT,58.97,DEPOSIT, ,
DSLIP,5/5/2023,DEPOSIT,420.27,DEPOSIT, ,
DSLIP,5/5/2023,DEPOSIT,249.92,DEPOSIT, ,
DSLIP,5/3/2023,DEPOSIT,341.16,DEPOSIT, ,
DSLIP,5/3/2023,DEPOSIT,338.84,DEPOSIT, ,
DSLIP,5/3/2023,DEPOSIT,182.94,DEPOSIT, ,
DSLIP,5/3/2023,DEPOSIT,180.13,DEPOSIT, ,
DSLIP,5/3/2023,DEPOSIT,149.94,DEPOSIT, ,
DSLIP,5/3/2023,DEPOSIT,127.95,DEPOSIT, ,
DSLIP,5/3/2023,DEPOSIT,97.55,DEPOSIT, ,
DSLIP,4/26/2023,DEPOSIT,328.87,DEPOSIT, ,
DSLIP,4/26/2023,DEPOSIT,262.29,DEPOSIT, ,
DSLIP,4/26/2023,DEPOSIT,249.91,DEPOSIT, ,
DSLIP,4/26/2023,DEPOSIT,221.93,DEPOSIT, ,
DSLIP,4/26/2023,DEPOSIT,208.41,DEPOSIT, ,
DSLIP,4/26/2023,DEPOSIT,179.89,DEPOSIT, ,
DSLIP,4/26/2023,DEPOSIT,163.94,DEPOSIT, ,
DSLIP,4/26/2023,DEPOSIT,111.96,DEPOSIT, ,
DSLIP,4/18/2023,DEPOSIT,622.79,DEPOSIT, ,
DSLIP,4/18/2023,DEPOSIT,405.84,DEPOSIT, ,
DSLIP,4/18/2023,DEPOSIT,233.94,DEPOSIT, ,
DSLIP,4/18/2023,DEPOSIT,154.93,DEPOSIT, ,
DSLIP,4/18/2023,DEPOSIT,120.95,DEPOSIT, ,
DSLIP,4/18/2023,DEPOSIT,106.96,DEPOSIT, ,
DSLIP,4/18/2023,DEPOSIT,105.96,DEPOSIT, ,
DSLIP,4/11/2023,DEPOSIT,402.87,DEPOSIT, ,
DSLIP,4/11/2023,DEPOSIT,372.86,DEPOSIT, ,
DSLIP,4/11/2023,DEPOSIT,365.43,DEPOSIT, ,
DSLIP,4/11/2023,DEPOSIT,363.88,DEPOSIT, ,
DSLIP,4/11/2023,DEPOSIT,354.86,DEPOSIT, ,
DSLIP,4/11/2023,DEPOSIT,286.45,DEPOSIT, ,
DSLIP,4/11/2023,DEPOSIT,222.9,DEPOSIT, ,
DSLIP,4/11/2023,DEPOSIT,170.93,DEPOSIT, ,
DSLIP,4/11/2023,DEPOSIT,153.93,DEPOSIT, ,
DSLIP,4/11/2023,DEPOSIT,142.93,DEPOSIT, ,
DSLIP,4/11/2023,DEPOSIT,139.96,DEPOSIT, ,
DSLIP,4/11/2023,DEPOSIT,109.96,DEPOSIT, ,
DSLIP,4/11/2023,DEPOSIT,78.97,DEPOSIT, ,
DSLIP,3/29/2023,DEPOSIT,334.35,DEPOSIT, ,
DSLIP,3/29/2023,DEPOSIT,288.87,DEPOSIT, ,
DSLIP,3/29/2023,DEPOSIT,216.94,DEPOSIT, ,
DSLIP,3/29/2023,DEPOSIT,195.89,DEPOSIT, ,
DSLIP,3/29/2023,DEPOSIT,184.92,DEPOSIT, ,
DSLIP,3/29/2023,DEPOSIT,129.94,DEPOSIT, ,
DSLIP,3/29/2023,DEPOSIT,128.74,DEPOSIT, ,
DSLIP,3/29/2023,DEPOSIT,123.44,DEPOSIT, ,
DSLIP,3/21/2023,DEPOSIT,440.25,DEPOSIT, ,
DSLIP,3/21/2023,DEPOSIT,300.86,DEPOSIT, ,
DSLIP,3/21/2023,DEPOSIT,285.72,DEPOSIT, ,
