Date,Amount
2022-07-25,71.98
2022-07-11,557.68
2022-07-11,516.85
2022-07-11,464.79
2022-07-11,304.7
2022-07-11,269.71
2022-07-11,216.91
2022-07-11,63.96
2022-07-05,512.32
2022-07-05,368.32
2022-07-05,354.86
2022-07-05,245.9
2022-07-05,159.93
2022-07-05,149.96
2022-07-05,81.92
2022-07-05,46.96
2022-06-23,568.74
2022-06-23,296.36
2022-06-23,272.71
2022-06-23,271.88
2022-06-23,254.95
2022-06-23,248.18
2022-06-23,138.43
2022-06-23,124.4
2022-06-23,104.96
2022-06-23,97.96
2022-06-14,712.68
2022-06-14,536.78
2022-06-14,534.94
2022-06-14,481.82
2022-06-14,463.82
2022-06-14,416.1
2022-06-14,370.04
2022-06-14,356.35
2022-06-14,290.36
2022-06-14,247.51
2022-06-14,232.39
2022-06-14,132.04
2022-06-14,123.95
2022-06-14,109.55
2022-06-14,95.95
2022-06-14,94.96
2022-06-14,90.97
2022-06-14,78.88
2022-06-14,66.97
2022-06-14,43.98
2022-06-02,496.04
2022-06-02,307.39
2022-06-02,285.42
2022-06-02,255.17
2022-06-02,229.0
2022-06-02,113.95
2022-06-02,97.96
2022-05-17,416.32
2022-05-17,388.84
2022-05-17,244.9
2022-05-17,186.43
2022-05-17,160.93
2022-05-16,527.52
2022-05-16,404.86
2022-05-16,346.43
2022-05-16,302.15
2022-05-16,259.97
2022-05-16,240.37
2022-05-16,185.57
2022-05-16,148.49
2022-05-16,122.94
2022-05-11,450.0
2022-05-03,418.3
2022-05-03,212.93
2022-05-03,198.71
2022-05-03,190.92
2022-05-03,187.92
2022-05-03,174.92
2022-05-03,163.43
2022-05-03,152.91
2022-05-03,62.07
2022-05-03,59.35
2022-04-25,593.0
2022-04-25,587.27
2022-04-25,430.74
2022-04-25,306.24
2022-04-25,303.75
2022-04-25,263.34
2022-04-25,189.9
2022-04-25,125.44
2022-04-18,704.22
2022-04-18,495.73
2022-04-18,363.9
2022-04-18,292.96
2022-04-18,207.06
2022-04-18,203.89
2022-04-11,311.86
2022-04-11,145.51
2022-04-11,31.99
2022-04-07,530.28
2022-04-07,390.83
2022-04-07,326.34
2022-04-07,277.85
2022-04-07,245.5
2022-04-07,176.42
2022-03-30,357.86
2022-03-30,235.88
2022-03-30,219.89
2022-03-30,165.71
2022-03-30,65.97
2022-03-28,379.87
2022-03-28,260.78
2022-03-28,246.5
2022-03-24,467.8
2022-03-24,339.92
2022-03-24,230.88
2022-03-24,226.19
2022-03-24,189.87
2022-03-24,65.97
2022-03-17,309.85
2022-03-17,285.73
2022-03-17,193.92
2022-03-15,214.42
2022-03-14,446.29
2022-03-14,367.32
2022-03-14,297.99
2022-03-14,275.17
2022-03-14,269.45
2022-03-14,269.43
2022-03-14,245.39
2022-03-14,238.92
2022-03-14,178.16
2022-03-14,151.42
2022-03-07,724.92
2022-03-07,406.31
2022-03-07,321.96
2022-03-07,235.29
2022-03-07,187.74
2022-03-07,182.39
2022-02-28,482.82
2022-02-28,389.82
2022-02-28,358.32
2022-02-28,333.66
2022-02-28,271.86
2022-02-28,271.6
2022-02-28,224.91
2022-02-28,171.83
2022-02-28,147.51
2022-02-28,114.52
